event_id,sequence,date_start,date_end,date_label,event_title,category,certainty,place_id,place_name_zh,lng,lat,coordinate_precision,needs_review,source_id,source_locator,evidence_quote
event-1949-shanghai-school,60,1949-01-25,1949-04-10,1949年1月25日至4月10日,上海市缉椝中学短暂求学,education,high,place-shanghai,上海,121.4737,31.2304,city,false,source-leeao-chronology-50,1949条,考入上海市缉椝中学...4月10日离上海
event-1949-shanghai-school,60,1949-01-25,1949-04-10,1949年1月25日至4月10日,上海市缉椝中学短暂求学,education,high,place-shanghai-jigui-middle-school,上海市缉椝中学,,,unknown,true,source-leeao-chronology-50,1949条,考入上海市缉椝中学...4月10日离上海
event-1948-1949-shanghai-tilanqiao-residence,62,1948-12-01,1949-04-30,1948年冬至1949年春,上海虹口提篮桥附近新居,residence,high,place-shanghai-hongkou-tilanqiao-residence,上海虹口提篮桥附近新居,121.504,31.253,address_approx,true,source-leeao-autobiography-and-memoirs,第11、13行,全家住在工地附近，准备迁入新居...地点在上海虹口提篮桥附近，对面就是上海监狱
event-1948-1949-shanghai-tilanqiao-residence,62,1948-12-01,1949-04-30,1948年冬至1949年春,上海虹口提篮桥附近新居,residence,high,place-shanghai-tilanqiao-prison,上海监狱（提篮桥监狱）,121.5045,31.2545,site_approx,true,source-leeao-autobiography-and-memoirs,第11、13行,全家住在工地附近，准备迁入新居...地点在上海虹口提篮桥附近，对面就是上海监狱
event-1949-shanghai-bookshops-and-gold-run,64,1949-01-01,1949-04-30,1949年在上海期间,上海买书、开明书店与黄浦滩抢兑黄金记忆,public_memory,high,place-shanghai-commercial-press,商务印书馆（上海）,,,unknown,true,source-leeao-autobiography-and-memoirs,第23、31行,唯一常去的地方，就是商务印书馆等几家书店...在黄浦滩边目击了抢购黄金的热潮
event-1949-shanghai-bookshops-and-gold-run,64,1949-01-01,1949-04-30,1949年在上海期间,上海买书、开明书店与黄浦滩抢兑黄金记忆,public_memory,high,place-shanghai-kaiming-bookstore-fuzhou-road,开明书店上海福州路总店,121.481,31.234,street_approx,true,source-leeao-autobiography-and-memoirs,第23、31行,唯一常去的地方，就是商务印书馆等几家书店...在黄浦滩边目击了抢购黄金的热潮
event-1949-shanghai-bookshops-and-gold-run,64,1949-01-01,1949-04-30,1949年在上海期间,上海买书、开明书店与黄浦滩抢兑黄金记忆,public_memory,high,place-shanghai-bund-central-bank,黄浦滩中央银行一带,121.49,31.236,site_approx,true,source-leeao-autobiography-and-memoirs,第23、31行,唯一常去的地方，就是商务印书馆等几家书店...在黄浦滩边目击了抢购黄金的热潮
event-1949-zhongxing-voyage-keelung,68,1949-05-01,1949-05-12,1949年5月前后,乘中兴轮离上海，在基隆下船,migration,high,place-shanghai-port,上海码头,121.491,31.24,site_approx,true,source-leeao-autobiography-and-memoirs,第39、43行,买到中兴轮的甲板上船票...船慢慢开出崇明岛
event-1949-zhongxing-voyage-keelung,68,1949-05-01,1949-05-12,1949年5月前后,乘中兴轮离上海，在基隆下船,migration,high,place-keelung-port,基隆港,121.741,25.134,site_approx,false,source-leeao-autobiography-and-memoirs,第39、43行,买到中兴轮的甲板上船票...船慢慢开出崇明岛
event-1949-zhongxing-voyage-keelung,68,1949-05-01,1949-05-12,1949年5月前后,乘中兴轮离上海，在基隆下船,migration,high,place-taichung-yunlongli,台中云龙里（模范西巷）72号,120.6736,24.1477,city,true,source-leeao-autobiography-and-memoirs,第39、43行,买到中兴轮的甲板上船票...船慢慢开出崇明岛
event-1949-arrive-taiwan-taichung,70,1949-05-12,1949-05-12,1949年5月12日,到台湾，住台中云龙里,migration,high,place-taichung-yunlongli,台中云龙里（模范西巷）72号,120.6736,24.1477,city,true,source-leeao-chronology-50,1949条,5月12日到台湾，住台中云龙里
event-1949-arrive-taiwan-taichung,70,1949-05-12,1949-05-12,1949年5月12日,到台湾，住台中云龙里,migration,high,place-keelung-port,基隆港,121.741,25.134,site_approx,false,source-leeao-chronology-50,1949条,5月12日到台湾，住台中云龙里
event-1949-taichung-first-high-school,80,1949-05-13,1949-12-31,1949年,跳班考入台中一中,education,high,place-taichung-first-high-school,台湾省立台中第一中学,120.687,24.149,institution_approx,true,source-leeao-chronology-50,1949条,考入台湾省立台中第一中学
event-1952-qianmu-cunde-meeting,83,1952-06-15,1952-06-15,1952年6月15日,在台中存德巷拜见钱穆,education,medium,place-taichung-cunde-1,台中存德巷一号,120.688,24.149,address_approx,true,source-leeao-autobiography-and-memoirs-sequel,第25行,1952年6月15日，徐武军带我走进存德巷一号，见到了钱穆。
event-1952-qianmu-cunde-meeting,83,1952-06-15,1952-06-15,1952年6月15日,在台中存德巷拜见钱穆,education,medium,place-taichung-cunde-13,台中存德巷十三号台中一中宿舍,120.6886,24.1487,address_approx,true,source-leeao-autobiography-and-memoirs-sequel,第25行,1952年6月15日，徐武军带我走进存德巷一号，见到了钱穆。
event-1952-hushi-letter-taichung-station,84,1952-10-01,1952-10-01,1952年10月1日,在台中车站递信给胡适,education,high,place-taichung-station,台中车站,120.685,24.1368,site_approx,false,source-leeao-autobiography-and-memoirs-sequel,第5行,1952年10月1日，我在台中车站递了一封两千字的长信给他
event-1953-taichung-huangzhong-tutoring,86,1953-01-01,1953-12-31,高三后,休学后到黄钟家补习,education,high,place-taichung-yongan-1-5,台中市永安街1巷5号,,,unknown,true,source-leeao-autobiography-and-memoirs,第46行,他家住台中市永安街1巷5号，我每次去补习
event-1953-taichung-hospital-huangzhong,87,1953-01-01,1953-12-31,高三后,台中医院照料黄钟,education,high,place-taichung-hospital,台中医院,120.681,24.143,institution_approx,true,source-leeao-autobiography-and-memoirs,第48行,黄钟病倒，住在台中医院里...我每天去照料他
event-1953-yucai-street-yanqiao,88,1953-01-01,1953-12-31,台中一中时期,严侨家：育才街5号,education,high,place-taichung-yucai-5,台中育才街5号,120.688,24.149,address_approx,true,source-leeao-autobiography-and-memoirs,第52行,他家住在一中斜对面宿舍，就是育才街5号
event-1953-yucai-street-yanqiao,88,1953-01-01,1953-12-31,台中一中时期,严侨家：育才街5号,education,high,place-taichung-first-high-school,台湾省立台中第一中学,120.687,24.149,institution_approx,true,source-leeao-autobiography-and-memoirs,第52行,他家住在一中斜对面宿舍，就是育才街5号
event-1954-ntu-law,90,1954-09-14,1955-06-27,1954年9月14日,入台湾大学法律专修科,education,high,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-chronology-50,1954条,考入台湾大学法律专修科...9月14日入学
event-1954-shandao-temple-basement,92,1954-09-14,1955-06-27,1954年台大初期,借住善导寺地下室,residence,high,place-taipei-shandao-temple,善导寺,121.5233,25.0448,site_approx,false,source-leeao-kuaienchou,第9行,我到台北念台大，一开始就借住善导寺...地下室内，有个骨灰间，我就住在隔壁。
event-1955-ntu-history,100,1955-06-27,1959-07-31,1955年6月27日至1959年7月,重考入台湾大学历史系,education,high,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-chronology-50,1955、1959条,重考入台湾大学历史学系...7月毕业
event-1957-1958-ntu-wenzhou-dorm,104,1957-01-01,1958-08-02,台大历史系后期,住温州街台大第一宿舍第四室,residence,medium,place-ntu-wenzhou-73-first-dorm,温州街73号台大第一宿舍第四室,121.5327,25.0205,address_approx,true,source-leeao-unforgettable-events-and-people,第10行,在历史系后期，我住在温州街73号，台大第一宿舍第四室。
event-1957-1958-ntu-wenzhou-dorm,104,1957-01-01,1958-08-02,台大历史系后期,住温州街台大第一宿舍第四室,residence,medium,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-unforgettable-events-and-people,第10行,在历史系后期，我住在温州街73号，台大第一宿舍第四室。
event-1957-nangang-academia-sinica-study,104.3,1957-04-28,1957-04-28,1957年4月28日,赴南港中央研究院读书,education,high,place-academia-sinica-nangang,中央研究院南港院区 / 历史语言研究所,121.6148,25.0416,institution_approx,true,source-leeao-university-notes,第3行,7点50分在温州街口见姚先生及庄申，同坐车去中央研究院，读书竟日...又同到历史语言研究所书库中大谈。（1957年4月28日）
event-1957-nangang-academia-sinica-study,104.3,1957-04-28,1957-04-28,1957年4月28日,赴南港中央研究院读书,education,high,place-ntu-wenzhou-73-first-dorm,温州街73号台大第一宿舍第四室,121.5327,25.0205,address_approx,true,source-leeao-university-notes,第3行,7点50分在温州街口见姚先生及庄申，同坐车去中央研究院，读书竟日...又同到历史语言研究所书库中大谈。（1957年4月28日）
event-1957-tunghai-beigou-antiquities,104.6,1957-08-14,1957-08-23,1957年8月14日至23日,参观东海大学与北沟古物展览,travel,medium,place-tunghai-university,东海大学,120.6007,24.181,institution_approx,true,source-leeao-university-notes,第3行,与系中诸同学参观东海大学...午后赴北沟参观古物...（1957年8月14日）
event-1957-tunghai-beigou-antiquities,104.6,1957-08-14,1957-08-23,1957年8月14日至23日,参观东海大学与北沟古物展览,travel,medium,place-beigou-palace-museum-wufeng,北沟故宫文物旧址（雾峰）,120.705,24.055,village_approx,true,source-leeao-university-notes,第3行,与系中诸同学参观东海大学...午后赴北沟参观古物...（1957年8月14日）
event-1958-nangang-hu-shih-sinica-study,105,1958-06-08,1959-04-28,1958年6月至1959年4月,南港拜访胡适、听讲并使用史语所资料,education,high,place-academia-sinica-nangang,中央研究院南港院区 / 历史语言研究所,121.6148,25.0416,institution_approx,true,source-leeao-late-university-diary-a,第3、7、9、23、27行,6月8日...赴南港见胡适。我从南港走到旧庄...中央研究院...在南港旧庄新院址开放展览...十时半抵南港...胡先生...送你一个小玩意
event-1958-songshan-airport-hu-shih-return,105.4,1958-11-04,1958-11-04,1958年11月4日,松山机场迎胡适返台,education,high,place-taipei-songshan-airport,台北松山机场,121.5525,25.0697,institution_approx,true,source-leeao-late-university-diary-a,第73、79行,11月4日 星期二...赴松山机场迎胡适，12时飞机抵北，我站在机梯旁，人潮拥挤中胡适叫我一声“李敖”...姚先生言及我论文事，谓想请胡先生协助
event-1959-ntu-hospital-hu-shih-talk,106.5,1959-04-30,1959-04-30,1959年4月30日,台大医院特别病房与胡适谈话,education,high,place-ntu-hospital,台大医院,121.5188,25.0408,institution_approx,true,source-leeao-late-university-diary-b,第127、129、345、347行,4月13日...晨赴台大医院看胡适病于203室...4月30日...在台大医院四楼特別病房与胡适谈...胡适之见我大呼“李先生”
event-1959-ntu-graduation-zhongshan-hall,108,1959-06-18,1959-06-18,1959年6月18日,台大毕业典礼,education,high,place-taipei-zhongshan-hall,台北中山堂,121.5107,25.0436,institution_approx,true,source-leeao-late-university-diary-b,第397、399、405行,6月18日 星期四...晨赴中山堂参加毕业典礼...傍晚6时本系先照相于校园...后集体坐校车赴玉楼东。
event-1959-ntu-graduation-zhongshan-hall,108,1959-06-18,1959-06-18,1959年6月18日,台大毕业典礼,education,high,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-late-university-diary-b,第397、399、405行,6月18日 星期四...晨赴中山堂参加毕业典礼...傍晚6时本系先照相于校园...后集体坐校车赴玉楼东。
event-1959-return-taichung-before-army,109,1959-08-02,1959-09-06,1959年8月2日至9月6日,毕业后返台中待役,migration,high,place-taipei-main-station,台北车站,121.517,25.0478,station_approx,true,source-leeao-late-university-diary-b,第15、19、23行,8月2日 星期日...与弘、祝公、庭生、鼓应、克斌同车赴车站...今日送行者...抵台中后，夜10时48分接鼓应。取行李。
event-1959-return-taichung-before-army,109,1959-08-02,1959-09-06,1959年8月2日至9月6日,毕业后返台中待役,migration,high,place-taichung-station,台中车站,120.685,24.1368,site_approx,false,source-leeao-late-university-diary-b,第15、19、23行,8月2日 星期日...与弘、祝公、庭生、鼓应、克斌同车赴车站...今日送行者...抵台中后，夜10时48分接鼓应。取行李。
event-1959-return-taichung-before-army,109,1959-08-02,1959-09-06,1959年8月2日至9月6日,毕业后返台中待役,migration,high,place-taichung-yunlongli,台中云龙里（模范西巷）72号,120.6736,24.1477,city,true,source-leeao-late-university-diary-b,第15、19、23行,8月2日 星期日...与弘、祝公、庭生、鼓应、克斌同车赴车站...今日送行者...抵台中后，夜10时48分接鼓应。取行李。
event-1959-fengshan-training,110,1959-09-07,1960-02-25,1959年9月7日至1960年2月25日,凤山陆军步兵学校受训,military,high,place-fengshan-infantry-school,凤山陆军步兵学校,120.363,22.625,institution_approx,true,source-leeao-chronology-50,1959、1960条,去凤山陆军步兵学校...预备军官训练
event-1960-renwu-17th-division,115,1960-03-03,1961-01-26,1960年3月3日至1961年1月26日,分发高雄仁武第十七师,military,high,place-renwu-17th-division-camp,高雄县仁武乡第十七师驻地线索,120.3506,22.7015,area_approx,true,source-leeao-preofficer-diary,第31、33、35、65行,3月3日...自五块厝转入第二军团...十八人分到十七师...车过仁武，抵十七师...分至四十九团四二炮连...这个地方在仁武附近，凤山北面
event-1961-baisha-dachikan-penghu-service,118,1961-01-27,1961-02-06,1961年1月27日至2月6日,澎湖白沙大赤崁驻防,military,high,place-penghu-baisha-dachikan,澎湖白沙乡大赤崁,119.599,23.666,village_approx,true,source-leeao-preofficer-diary,第687、693、695、697、699、715、717、727、739行,离仁武而去...抵十四号码头...10时登313运输舰...终泊马公...白沙岛东北角之大赤崁...赤崁是个小港口，我们就驻在这儿...赤崁码头...澎湖县白沙乡的大赤崁海边
event-1961-baisha-dachikan-penghu-service,118,1961-01-27,1961-02-06,1961年1月27日至2月6日,澎湖白沙大赤崁驻防,military,high,place-penghu,澎湖,119.5793,23.5711,region,false,source-leeao-preofficer-diary,第687、693、695、697、699、715、717、727、739行,离仁武而去...抵十四号码头...10时登313运输舰...终泊马公...白沙岛东北角之大赤崁...赤崁是个小港口，我们就驻在这儿...赤崁码头...澎湖县白沙乡的大赤崁海边
event-1961-penghu-discharge,120,1961-02-05,1961-02-06,1961年2月5日至6日,澎湖退伍后返台中,military,high,place-penghu-baisha-dachikan,澎湖白沙乡大赤崁,119.599,23.666,village_approx,true,source-leeao-chronology-50,1961条,在澎湖退伍。6日上船，抵台中
event-1961-penghu-discharge,120,1961-02-05,1961-02-06,1961年2月5日至6日,澎湖退伍后返台中,military,high,place-penghu,澎湖,119.5793,23.5711,region,false,source-leeao-chronology-50,1961条,在澎湖退伍。6日上船，抵台中
event-1961-penghu-discharge,120,1961-02-05,1961-02-06,1961年2月5日至6日,澎湖退伍后返台中,military,high,place-taichung-yunlongli,台中云龙里（模范西巷）72号,120.6736,24.1477,city,true,source-leeao-chronology-50,1961条,在澎湖退伍。6日上船，抵台中
event-1961-four-mat-room,130,1961-02-17,1961-06-14,1961年2月17日,租下“四席小屋”,residence,high,place-taipei-xinsheng-south-60-lane-1,台北新生南路三段60巷1号“四席小屋”,121.5335,25.0215,address_approx,true,source-leeao-chronology-50,1961条,租下台北新生南路三段60巷1号“四席小屋”
event-1961-bitan-house,140,1961-06-15,1962-05-18,1961年6月15日,迁到新店“碧潭山楼”,residence,high,place-xindian-bitan-shitou-17,新店狮头路17号“碧潭山楼”,121.537,24.957,address_approx,true,source-leeao-chronology-50,1961条,搬到新店狮头路17号“碧潭山楼”
event-1961-ntu-grad-school,150,1961-08-18,1963-03-19,1961年8月18日至1963年3月19日,台湾大学历史研究所,education,high,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-chronology-50,1961、1963条,考入台湾大学历史研究所...自动在历史研究所休学
event-1962-wenxianhui-hangzhou,152,1962-02-01,1963-05-04,1962年2月1日至1963年5月前后,入文献会并住杭州南路办公处,work,medium,place-taipei-wenxianhui-renai-hangzhou,开国五十年文献会（仁爱路二段9巷27号）,121.528,25.038,address_approx,true,source-leeao-memoir,第7行,我就从新店迁回台北，住进杭州南路文献会。
event-1961-wenxing-li-ao-appears,155,1961-11-01,1961-11-30,1961年前后,李敖进入《文星》视野,media,medium,place-taipei,台北,121.5654,25.033,city,false,source-leeao-autobiography-and-memoirs-sequel,第9行,《文星杂志》创刊在一九五七年十一月...从这一期开始，李敖出现，《文星》改观。
event-1962-andong-street,160,1962-05-19,1964-04-30,1962年5月19日,住进安东街231号三楼,residence,high,place-taipei-andong-231,台北安东街231号三楼,121.543,25.043,address_approx,true,source-leeao-chronology-50,1962条,住进安东街231号三楼
event-1962-g-love-letters-ntu-andong,160.5,1962-04-08,1962-12-19,1962年4月至12月,给G的情书：台大与安东街通信空间,writing,medium,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-love-letters,第3、17、19、27、93、95行,一（此信起，G在台北）...你的R5O1310 1962年4月8日早上...阿拉伯数字为G和我在台大的学号...文学院正门口...如果你不来安东街...文学院二四教室
event-1962-g-love-letters-ntu-andong,160.5,1962-04-08,1962-12-19,1962年4月至12月,给G的情书：台大与安东街通信空间,writing,medium,place-taipei-andong-231,台北安东街231号三楼,121.543,25.043,address_approx,true,source-leeao-love-letters,第3、17、19、27、93、95行,一（此信起，G在台北）...你的R5O1310 1962年4月8日早上...阿拉伯数字为G和我在台大的学号...文学院正门口...如果你不来安东街...文学院二四教室
event-1962-wenxing-fifth-anniversary-zhongshan-hall,162,1962-11-05,1962-11-05,1962年11月5日,文星五周年纪念会在中山堂,media,high,place-taipei-zhongshan-hall,台北中山堂,121.5107,25.0436,institution_approx,true,source-leeao-love-letters,第809、815行,昨天是文星五周年纪念会，在中山堂保垒厅举行...自下午4时起至6时半始结束，然后与孟能等十多人同宴于华春园...敖之 1962年11月6日午后
event-1963-tradition-under-monologue-publication,165,1963-09-25,1963-10-10,1963年9月25日，10月10日再版自序,第一本书《传统下的独白》出版,writing,medium,place-wenxing-bookstore-hengyang,文星书店衡阳街旧址,121.5109,25.0423,street_approx,true,source-leeao-tradition-under-monologue,第3-7行,这本《传统下的独白》是9月25号出版的。出版后两个星期，就居然有一次再版的机会...中国广播公司对这套《文星丛刊》...予以介绍
event-1964-shuiyuan-building,170,1964-05-01,1965-08-17,1964年5月1日,迁入水源大楼,residence,high,place-taipei-shuiyuan-19-8,水源路19号之八“水源大楼”,121.525,25.016,address_approx,true,source-leeao-chronology-50,1964条,迁入水源路19号之八“水源大楼”
event-1965-ntu-freedom-talk-and-bans,179.5,1965-03-26,1965-05-04,1965年3月26日至5月4日,台大演说受阻与五四自由讨论,speech,high,place-ntu,台湾大学,121.5398,25.0173,institution_approx,false,source-leeao-shuhanji,第17、19、21、29行,文学院原定今晚请我演说五四运动，结果被驳回...今天上午法学院四个社团请李声庭讲“民主与自由”...请我们分别发言...1965年5月4日夜
event-1965-xinyi-apartment,180,1965-08-18,1971-03-18,1965年8月18日,迁往信义路国泰信义公寓,residence,high,place-taipei-xinyi-guotai,信义路国泰信义公寓,121.562,25.033,address_approx,true,source-leeao-chronology-50,1965条,迁往信义路国泰信义公寓四楼
event-1965-wenxing-banned,183,1965-12-01,1965-12-31,1965年12月,《文星》杂志被封,media,high,place-taipei,台北,121.5654,25.033,city,false,source-leeao-autobiography-and-memoirs-sequel,第9、123、128行,《文星杂志》创刊在一九五七年十一月；被封在一九六五年十二月...今天证实被“罚”停刊一年。
event-1966-wufeng-high-court-lawsuit,183.4,1966-02-24,1966-02-24,1966年2月24日,雾峰高分院打官司,lawsuit,medium,place-taiwan-high-court-taichung-branch-wufeng,台湾高等法院台中分院雾峰旧址线索,120.69844,24.058169,address_approx,true,source-leeao-shuhanji,第5、23行,昨日返中，今早去雾峰高分院打官司，这是我第二次去...敖之 1966年2月24日午后2时
event-1966-farewell-ten-books-censorship,184,1966-11-05,1966-12-31,1966年11月5日前后,《李敖告别文坛十书》出版与查扣,media,medium,place-taipei,台北,121.5654,25.033,city,false,source-leeao-autobiography-and-memoirs,第755行,1966年，我的《孙逸仙和中国西化医学》...等书全被查禁。11月5日出版《李敖告别文坛十书》，在装订厂被治安人员抢走。
event-1966-hu-shih-letter-security-office,184.2,1966-11-07,1966-12-31,1966年11月7日后,胡适信风波后被警总保安处约谈,political_pressure,medium,place-garrison-command-security-office,警总保安处（博爱路）,121.5108306,25.0371985,address_approx,true,source-leeao-shujianji,第9、23行,1966年11月7日，在台北妇女之家举行声讨李敖大会...并把我一状告到警总。警总保安处派魏以之组长主持，把我约谈多次，每次早出晚归，并没过夜...这些要把我送到警备总部的“文化人”
event-1966-taipei-post-office-new-books,184.4,1966-11-19,1966-11-24,1966年11月19日至24日,台北邮政总局寄发新著四百三十四件,publication,medium,place-taipei-main-post-office-beimen,台北邮政总局 / 台北北门邮局,121.512212,25.047246,building_approx,true,source-leeao-shuhanji,第3、5、7、15行,台北邮政总局局长先生...本人11月19日下午14时至19时在贵局寄出大宗函件...四百三十四件...李敖 1966年11月24日
event-1967-wenfeng-magazine,185,1967-07-01,1967-07-31,1967年7月,隐名参与《文风》杂志创办，一期即受压停办,media,medium,place-taipei-xinyi-guotai,信义路国泰信义公寓,121.562,25.033,address_approx,true,source-leeao-wencun-ii,第9、15、17行,我们创办《文风》杂志...在废墟之中，“开始盖一些小建筑、寄一些小希望”...我离文星后，1977年7月，隐名与两个朋友办《文风》杂志，只办了一期，就遭到压力。
event-1968-wenxing-bookstore-closure,186,1968-03-04,1968-04-01,1968年3月至4月,文星书店宣布结束,media,high,place-wenxing-bookstore-emei,文星书店峨眉街店,121.506,25.0443,street_approx,true,source-leeao-autobiography-and-memoirs-sequel,第17、37、45行,于三月四日宣布结束...《文星》书店宣布将于4月1日关门...坐落峨眉街的现代化书店
event-1968-wenxing-bookstore-closure,186,1968-03-04,1968-04-01,1968年3月至4月,文星书店宣布结束,media,high,place-wenxing-bookstore-hengyang,文星书店衡阳街旧址,121.5109,25.0423,street_approx,true,source-leeao-autobiography-and-memoirs-sequel,第17、37、45行,于三月四日宣布结束...《文星》书店宣布将于4月1日关门...坐落峨眉街的现代化书店
event-1968-zheng-nanrong-first-meeting,187,1968-07-01,1968-08-31,1968年暑期,郑南榕首次到李敖信义路寓所,public_life,high,place-taipei-xinyi-guotai,信义路国泰信义公寓,121.562,25.033,address_approx,true,source-leeao-unforgettable-events-and-people,第5、21、22行,1968年的暑期...第一次见到李敖...是在他现在安和路的那个“家”。当时门牌还是信义路...右边是《文星》杂志社的资料室，左边就是他的“第一个家”。
event-1970-house-arrest-surveillance,188,1970-01-01,1971-03-19,1970年1月至1971年3月19日,在信义路寓所遭长期跟监,imprisonment,high,place-taipei-xinyi-guotai,信义路国泰信义公寓,121.562,25.033,address_approx,true,source-leeao-autobiography-and-memoirs-sequel,第3、129行,国民党开始派人“跟监”我，一直到十四个月后的1971年3月19日晚上...最后还是来抓了我
event-1971-arrest-security-office,190,1971-03-19,1972-02-27,1971年3月19日至1972年2月27日,被捕，关押于警总保安处,imprisonment,high,place-liuzhangli-security-office,警总保安处六张犁看守所,121.5568,25.0162,site_approx,true,source-leeao-chronology-50,1971条,3月19日晚上被捕...保安处...近一年
